proj_name,cluster_tr2000_name,ward2012,total_subsidized_units
"1204 Talbert St SE","Sheridan, Barry Farm, Buena Vista","Ward 8",0
"Trenton Terrace","Congress Heights, Bellevue, Washington Highlands","Ward 8",0
"Wash Nursing Facility","Woodland/Fort Stanton, Garfield Heights, Knox Hill","Ward 8",0
"Orchard Park (Southview Apts I)","Douglas, Shipley Terrace","Ward 8",98
"Carver Hall Apts","Historic Anacostia","Ward 8",94
"Parkchester Associates Apts","Sheridan, Barry Farm, Buena Vista","Ward 8",94
"Garfield Hills Apts (Garfield Park)","Woodland/Fort Stanton, Garfield Heights, Knox Hill","Ward 8",94
"Maplewood Court","Woodland/Fort Stanton, Garfield Heights, Knox Hill","Ward 8",94
"Henson Ridge - UFAS","Douglas, Shipley Terrace","Ward 8",92
"Suitland East Apts","Woodland/Fort Stanton, Garfield Heights, Knox Hill","Ward 8",91
"Galen Terrace","Historic Anacostia","Ward 8",84
"Good Hope House","Historic Anacostia","Ward 8",8
"Chesapeake Crest (Madison Court)","Congress Heights, Bellevue, Washington Highlands","Ward 8",78
"Hanover Court (Hartford Knox St Apts)","Woodland/Fort Stanton, Garfield Heights, Knox Hill","Ward 8",74
"The Wingates Apts","Congress Heights, Bellevue, Washington Highlands","Ward 8",717
"Robert L Walker House","Douglas, Shipley Terrace","Ward 8",69
"Tobias Henson Apts","Douglas, Shipley Terrace","Ward 8",64
"Sayles Place","Sheridan, Barry Farm, Buena Vista","Ward 8",61
"Terrace Manor Apts","Douglas, Shipley Terrace","Ward 8",60
"1724 Minnesota Ave SE","Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont","Ward 8",6
"Eaton Road Apts","Sheridan, Barry Farm, Buena Vista","Ward 8",6
"St Paul Sr. Living at Wayne Place","Congress Heights, Bellevue, Washington Highlands","Ward 8",56
"Wayne Place Apts (Sr Management)","Congress Heights, Bellevue, Washington Highlands","Ward 8",56
"Forest Cove Apartments","Woodland/Fort Stanton, Garfield Heights, Knox Hill","Ward 8",49
"Safe Haven","Historic Anacostia","Ward 8",48
"People's Cooperative","Sheridan, Barry Farm, Buena Vista","Ward 8",46
"Good Hope Senior Housing","Historic Anacostia","Ward 8",45
"Howard Hill Apts","Sheridan, Barry Farm, Buena Vista","Ward 8",45
"Dupont Park Adventist Apts (Walter Washington Estates)","Congress Heights, Bellevue, Washington Highlands","Ward 8",45
"Barry Farm","Sheridan, Barry Farm, Buena Vista","Ward 8",432
"Worthington Woods Apts (Livingston Manor)","Congress Heights, Bellevue, Washington Highlands","Ward 8",392
"Forest Ridge & The Vistas (Formerly Stanton-Wellington Apts)","Sheridan, Barry Farm, Buena Vista","Ward 8",381
"Graceview Apts","Historic Anacostia","Ward 8",38
"Stanton Glenn Apts","Douglas, Shipley Terrace","Ward 8",378
"Second Family Home","Sheridan, Barry Farm, Buena Vista","Ward 8",36
"Stanton Park Apts - Gainesville","Sheridan, Barry Farm, Buena Vista","Ward 8",36
"Park Southern Apts","Congress Heights, Bellevue, Washington Highlands","Ward 8",357
